province,district,us,orgUnit
Manica,Cidade de Chimoio,CS 1 º de Maio,ZPCgEihjMiy
Tete,Moatize,CS 25 de Setembro,GpVP3Er8tHH
Manica,Manica,CS 4º Congresso,rfn0xX7liVL
Manica,Cidade de Chimoio,CS 7 de Abril,SKLMPC7qDwD
Niassa,Cuamba,CS Adine 3,L4A4cHnmqCy
Manica,Gondola,CS Amatongas,L7TkArEzSdW
Sofala,Buzi,CS Ampara,barctDO0AlZ
Sofala,Buzi,CS Bandua,enNmUo4i8I7
Manica,Machaze,CS Bassane,Sqry0ikIChZ
Tete,Marara,CS Boroma,BxkIkDAITR2
Sofala,Buzi,CS Bura,BDXebOcXCzA
Tete,Marara,CS Cachembe,hkIFBir1IrX
Sofala,Cidade da Beira,CS Cadeia Central da Beira,Xh67dwrJBoI
Sofala,Dondo,CS Canhandula,M3wyiBatqt0
Tete,Moatize,CS Caphirizange,eeXvku5d78S
Tete,Moatize,CS Cateme,HMVJTsa8OXT
Sofala,Cidade da Beira,CS Ceramica,JWkHE4YUUau
Tete,Moatize,CS CFM,EqSs8Eh9tZl
Manica,Mossurize,CS Chaiva,GY2vnTIADh1
Sofala,Cidade da Beira,CS Chamba,yVukesfhN7e
Tete,Changara,CS Changara Sede,L62WV6AxXbu
Sofala,Chibabava,CS Chibabava -Sede,mlOXv0OHQvf
Manica,Vanduzi,CS Chigodore,RZSIFguHtRn
Manica,Machaze,CS Chipodji,MdN1RqeBzCP
Manica,Machaze,CS Chipopopo,wXsyilYI7PO
Sofala,Nhamatanda,CS Chirassicua,ZEzNCIIh8B2
Niassa,Mecanhelas,CS Chisaua,yLGuFP6jHk4
Manica,Cidade de Chimoio,CS Chissui,aUtB6n9lhl4
Tete,Cahora Bassa,CS Chitima,e8wv3acHddB
Manica,Machaze,CS Chitobe,e3XMm8h8pJ3
Manica,Barue,CS Chiuala,fDqUIAimXAL
Niassa,Cidade de Lichinga,CS Chiuaula,jHlNl7FzWw1
Sofala,Cidade da Beira,CS Chota,AG0Ij65tpL5
Manica,Barue,CS Cruzamento de Macossa,rsZpZwTAPq1
Niassa,Cuamba,CS Cuamba,mY5o8jTjIKb
Manica,Mossurize,CS Dacata,pdtUKo1EQzR
Tete,Magoe,CS Daque,NE3tEHxUcic
Manica,Sussundenga,CS Darue,VE6gqvIqNNU
Manica,Sussundenga,CS Dombe,gucAF89KSPW
Tete,Angonia,CS Domue,MfZ1FGglCMh
Sofala,Dondo,CS Dondo Sede,OOVQmzaYBir
Tete,Changara,CS Dzunga,DPpYRj17uV1
Manica,Cidade de Chimoio,CS Eduardo Mondlane,nT0RSdagl3c
Niassa,Mecanhelas,CS Entre-Lagos,yDYqmDwiMUu
Tete,Macanga,CS Furancungo,RRFBArNZQqU
Manica,Mossurize,CS Garagua,OFV5FvycnU2
Manica,Gondola,CS Gondola Sede,pELuhX7Rgup
Sofala,Gorongosa,CS Gorongosa - Sede,iLe1dgNMg89
